MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Households,"Department Of Environment, Climate And Communications",Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Processing And Manufacturing Sector,"Department Of Environment, Climate And Communications",Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Restaurants,State Agencies ,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Food Service Providers,State Agencies ,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Primary Producers,State Agencies ,Small Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,Retail And Other Distribution Of Food,State Agencies ,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,United Nations,State Agencies ,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency is actively involved in implementing the National Food Waste Prevention Roadmap.,Environmental Protection Agency,European Union,State Agencies ,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,Origin Green,Environmental Protection Agency,State Agencies ,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Households are actively involved in the programme through their contribution to food waste generation and prevention efforts.,Origin Green,Households,State Agencies ,Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the National Food Waste Prevention Roadmap.,Origin Green,Processing And Manufacturing Sector,State Agencies ,Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Restaurants are involved in the programme as a key sector contributing to food waste reduction efforts.,Origin Green,Restaurants,"Branding, Marketing And Distribution",Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Origin Green,Food Service Providers,"Branding, Marketing And Distribution",Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Origin Green,Primary Producers,"Branding, Marketing And Distribution",Small Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),No relevant context found.,Origin Green,Retail And Other Distribution Of Food,"Branding, Marketing And Distribution",Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in setting targets and actions for food waste reduction in alignment with the SDGs.,Origin Green,United Nations Sustainable Development Goals,"Branding, Marketing And Distribution",International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),The Environmental Protection Agency (EPA) is actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,Food Processors,Environmental Protection Agency,"Branding, Marketing And Distribution",State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),"Households are a key focus in the National Food Waste Prevention Roadmap, contributing significantly to food waste reduction efforts.",Food Processors,Households,"Branding, Marketing And Distribution",Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste reduction efforts as part of the National Food Waste Prevention Roadmap.,Food Processors,Processing And Manufacturing Sector,"Branding, Marketing And Distribution",Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Food Processors,Restaurants,National Processors,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the National Food Waste Prevention Roadmap.,Food Processors,Food Service Providers,National Processors,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Food Processors,Primary Producers,National Processors,Small Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Food Processors,Retail And Other Distribution Of Food,National Processors,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Actively involved in promoting and supporting the Origin Green programme through the Gold Membership initiative.,Bord Bia The Irish Food Board,Bord Bia The Irish Food Board,National Processors,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Mabbett is involved as an independent verification authority assessing sustainability targets for the Origin Green programme.,Bord Bia The Irish Food Board,Mabbett,National Processors,Research And Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Origin Green member companies implement the programme by achieving Gold Membership through exceeding sustainability targets.,Bord Bia The Irish Food Board,Origin Green Member Companies,National Processors,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Actively involved as Gold Members committed to sustainability in the Origin Green programme.,Bord Bia The Irish Food Board,Irish Farmers' Association,"Branding, Marketing And Distribution",Trade Association
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,"Small to medium-sized enterprises (SMEs) are actively involved in the Origin Green programme as Gold Members, showcasing their commitment to sustainability.",Bord Bia The Irish Food Board,Small And Medium Enterprises,"Branding, Marketing And Distribution",Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Origin Green manufacturing members are actively involved in the programme by achieving Gold Membership through exceeding sustainability targets.,Bord Bia The Irish Food Board,Origin Green Manufacturing Members,"Branding, Marketing And Distribution","Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Actively involved in discussions and presentations at the Origin Green Sustainability Seminar.,Bord Bia The Irish Food Board,Customer Retail And Foodservice Members,"Branding, Marketing And Distribution",Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 1,"Promote and encourage participation  in the new Origin Green Gold  Membership, thus working towards  higher levels of ambition.",Origin Green,Actively involved in providing thought leadership presentations at the Origin Green Sustainability Seminar.,Bord Bia The Irish Food Board,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution","Branding, Marketing And Distribution"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in leading the development and implementation of the National Strategy for Horticulture (2023-2027).,Producers,Horticulture Industry Forum,"Branding, Marketing And Distribution",Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),The Irish Farmers Association is actively involved in leading the development of a retail charter within the National Strategy for Horticulture (2023-2027).,Producers,Irish Farmers' Association,"Branding, Marketing And Distribution",Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Bord Bia is actively involved in consumer promotion within the National Strategy for Horticulture (2023-2027).,Producers,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution","Branding, Marketing And Distribution"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Teagasc is actively involved in the implementation of the National Strategy for Horticulture (2023-2027).,Producers,Teagasc The Agriculture And Food Development Authority,Producers,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023 – 2027).,Producers,Enterprise Ireland,Producers,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Retailers are actively involved in the programme through working groups and the development of a retail charter.,Producers,Retailers,Producers,Sales And Retail
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Producer Organisations are actively involved in workshops with interested growers as part of the National Strategy for Horticulture (2023-2027).,Producers,Producers,Producers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Growers are actively involved in the implementation of the National Strategy for Horticulture through workshops and working groups.,Producers,Irish Farmers' Association,Producers,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Implements the programme through leadership and stakeholder engagement.,Growers,Horticulture Industry Forum,Producers,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),The Irish Farmers Association leads the development of a retail charter within the National Strategy for Horticulture (2023-2027).,Growers,Irish Farmers' Association,Producers,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Bord Bia is actively involved in consumer promotion within the National Strategy for Horticulture (2023-2027).,Growers,Bord Bia The Irish Food Board,Producers,"Branding, Marketing And Distribution"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Teagasc is actively involved in the implementation of the National Strategy for Horticulture (2023 – 2027).,Growers,Teagasc The Agriculture And Food Development Authority,Producers,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023 – 2027).,Growers,Enterprise Ireland,Producers,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Retailers are actively involved in the development of the retail charter and working groups related to the National Strategy for Horticulture.,Growers,Retailers,Producers,Sales And Retail
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Producer Organisations are actively involved in the programme through workshops with interested growers and contributing to the strategic actions.,Growers,Producers,Producers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in leading the development and implementation of the National Strategy for Horticulture (2023-2027).,Food For Health Ireland,Horticulture Industry Forum,Producers,Trade Association
