MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 3,Support the establishment of co- operatives and Producer Organisations  across all sectors of farming and  enhance the role of the fishery producer  organisations co-operatives.,Bord Iascaigh Mhara,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 3,Support the establishment of co- operatives and Producer Organisations  across all sectors of farming and  enhance the role of the fishery producer  organisations co-operatives.,Irish Farmers' Association,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 3,Support the establishment of co- operatives and Producer Organisations  across all sectors of farming and  enhance the role of the fishery producer  organisations co-operatives.,Global Seafood Sustainability Initiative,Research And Regulatory
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 5,"Quality assurance schemes will be  continuously reviewed and updated  to ensure they are in line with  enhanced expectations in areas such  as environmental performance, food  safety standards, the animal health and  welfare sustainability credentials of  seafood and market requirements.",Primary Producers,Small Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 5,"Quality assurance schemes will be  continuously reviewed and updated  to ensure they are in line with  enhanced expectations in areas such  as environmental performance, food  safety standards, the animal health and  welfare sustainability credentials of  seafood and market requirements.",Fishing Industry,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 7,The fishing industry should explore  these arrangements to ascertain if  improvements in the first sale price can be  achieved for the different fleet segments.,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 7,The fishing industry should explore  these arrangements to ascertain if  improvements in the first sale price can be  achieved for the different fleet segments.,Bord Iascaigh Mhara,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 7,The fishing industry should explore  these arrangements to ascertain if  improvements in the first sale price can be  achieved for the different fleet segments.,Global Seafood Sustainability Initiative,Research And Regulatory
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 9,"Continue the development of grass- fed certification and branding,  including building on research into the  nutritional and other benefits of grass- fed output.",Primary Producers,Small Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 1,"The recommendations in the “Review  of Organic Food Sector and Strategy  for its Development 2019-2025”  should continue to be implemented and  reviewed, including taking on board  the new EU Organic Action Plan and its  three axes of boosting consumption,  increasing production, and improving  the sustainability of the sector.",Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 1,"The recommendations in the “Review  of Organic Food Sector and Strategy  for its Development 2019-2025”  should continue to be implemented and  reviewed, including taking on board  the new EU Organic Action Plan and its  three axes of boosting consumption,  increasing production, and improving  the sustainability of the sector.",Irish Organic Farmers And Growers Association,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 3,"See Goal 4 of the Mission on “A Climate  Smart, Environmentally Sustainable  Agri-Food Sector”.",Primary Producers,Small Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 3,"See Goal 4 of the Mission on “A Climate  Smart, Environmentally Sustainable  Agri-Food Sector”.",Irish Farmers' Association,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 4,"See Goal 6 of the Mission on “A Climate  Smart, Environmentally Sustainable  Agri-Food Sector”.",Irish Farmers' Association,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 5,"See Goal 1 of the Mission on “Viable  and Resilient Primary Producer with  Enhanced Well-Being” OTHER OPTIONS There are also a range of other options for  diversification, including: •	 The growing national and international trend  towards consumption of more fruit, vegetables and  whole-foods opens new opportunities to expand  existing commercial crop (horticultural and arable)  production and the growing of new commercial  crops including food protein crops (see also Goal 1,  actions 27 and 32).",Irish Farmers' Association,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 5,"See Goal 1 of the Mission on “Viable  and Resilient Primary Producer with  Enhanced Well-Being” OTHER OPTIONS There are also a range of other options for  diversification, including: •	 The growing national and international trend  towards consumption of more fruit, vegetables and  whole-foods opens new opportunities to expand  existing commercial crop (horticultural and arable)  production and the growing of new commercial  crops including food protein crops (see also Goal 1,  actions 27 and 32).",Craft Brewers,Processors
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 5,"See Goal 1 of the Mission on “Viable  and Resilient Primary Producer with  Enhanced Well-Being” OTHER OPTIONS There are also a range of other options for  diversification, including: •	 The growing national and international trend  towards consumption of more fruit, vegetables and  whole-foods opens new opportunities to expand  existing commercial crop (horticultural and arable)  production and the growing of new commercial  crops including food protein crops (see also Goal 1,  actions 27 and 32).",Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 3,Increase Primary Producer Diversification & Resilience,MISSION 2 GOAL 3 ACTION 5,"See Goal 1 of the Mission on “Viable  and Resilient Primary Producer with  Enhanced Well-Being” OTHER OPTIONS There are also a range of other options for  diversification, including: •	 The growing national and international trend  towards consumption of more fruit, vegetables and  whole-foods opens new opportunities to expand  existing commercial crop (horticultural and arable)  production and the growing of new commercial  crops including food protein crops (see also Goal 1,  actions 27 and 32).",Farmers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 8,Promote women’s participation in  farming through KT Groups facilitated  by a female advisor.,Farmers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 12,Promote LGBTI+ inclusion and combat  isolation.,Primary Producers,Small Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 12,Promote LGBTI+ inclusion and combat  isolation.,Lgbti+ People,Civil Society
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 14,Promote education and training  including life-long learning and peer to  peer learning and peer to peer learning  by continuing to support young trained  farmers and seafood workers.,Young Trained Farmers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 14,Promote education and training  including life-long learning and peer to  peer learning and peer to peer learning  by continuing to support young trained  farmers and seafood workers.,Seafood Producers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 16,"Introduce mandatory health and safety  skills training for all those working  on farms, particularly in the areas of  livestock handling and machinery.",Seafood Producers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 16,"Introduce mandatory health and safety  skills training for all those working  on farms, particularly in the areas of  livestock handling and machinery.",Fishing Industry,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 19,"Continued roll-out of actions in the  Teagasc/Mental Health Ireland manual  ‘Coping with the Pressures of Farming’  by both public and private advisory  service, and the National LGBTI+  Inclusion Strategy and the National  Wellbeing Framework and engage with  the Roadmap for Social Inclusion.",Advisory And Kt Providers,Research And Regulatory
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 19,"Continued roll-out of actions in the  Teagasc/Mental Health Ireland manual  ‘Coping with the Pressures of Farming’  by both public and private advisory  service, and the National LGBTI+  Inclusion Strategy and the National  Wellbeing Framework and engage with  the Roadmap for Social Inclusion.",Farmers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 19,"Continued roll-out of actions in the  Teagasc/Mental Health Ireland manual  ‘Coping with the Pressures of Farming’  by both public and private advisory  service, and the National LGBTI+  Inclusion Strategy and the National  Wellbeing Framework and engage with  the Roadmap for Social Inclusion.",Seafood Communities,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 19,"Continued roll-out of actions in the  Teagasc/Mental Health Ireland manual  ‘Coping with the Pressures of Farming’  by both public and private advisory  service, and the National LGBTI+  Inclusion Strategy and the National  Wellbeing Framework and engage with  the Roadmap for Social Inclusion.",Communities,Civil Society
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 23,"Government will continue to focus on  Rural Development;       The Government has published a new rural  development policy, Our Rural Future 2021 to 2025.",Agri-Food Businesses,Processors
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 23,"Government will continue to focus on  Rural Development;       The Government has published a new rural  development policy, Our Rural Future 2021 to 2025.",Farmers,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 2,Ensure that the healthy and sustainable  choice is made as accessible to  consumers as possible.,Food Processors,National Processors
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 2,Ensure that the healthy and sustainable  choice is made as accessible to  consumers as possible.,Food Service Providers,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 2,Ensure that the healthy and sustainable  choice is made as accessible to  consumers as possible.,Retailers,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 2,Ensure that the healthy and sustainable  choice is made as accessible to  consumers as possible.,Consumers,Civil Society
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 3,Promote best practice on labelling.,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 3,Promote best practice on labelling.,Bord Iascaigh Mhara,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 2,"Enhance Customer and Consumer Trust in our Food System, Providing Evidence of a Safe, Ethical Food Supply",MISSION 3 GOAL 2 ACTION 3,"Leverage the expertise and resources of  all organisations involved in control of  the food system to continue to enhance  the reputation of Irish food and drink,  including:   •	 Conduct risk assessments and enhance testing  capability (using data analytics and digital  technology), along the complete food chain, to  quantify the threats caused by food-borne hazards  to human health, and to identify, assess and  implement appropriate measures of intervention  and control.",Regulators,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 2,"Enhance Customer and Consumer Trust in our Food System, Providing Evidence of a Safe, Ethical Food Supply",MISSION 3 GOAL 2 ACTION 8,"New technologies and platforms will be  created and used to:     •	 Develop focused, factual and clear messages for  trade customers and consumers, including the  promotion of more direct contact with producers,  around food safety, how food is produced, how it is  processed, sustainable food and healthy diets.",Producers,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 2,"Enhance Customer and Consumer Trust in our Food System, Providing Evidence of a Safe, Ethical Food Supply",MISSION 3 GOAL 2 ACTION 8,"New technologies and platforms will be  created and used to:     •	 Develop focused, factual and clear messages for  trade customers and consumers, including the  promotion of more direct contact with producers,  around food safety, how food is produced, how it is  processed, sustainable food and healthy diets.",Consumers,Civil Society
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 2,"Enhance Customer and Consumer Trust in our Food System, Providing Evidence of a Safe, Ethical Food Supply",MISSION 3 GOAL 2 ACTION 8,"New technologies and platforms will be  created and used to:     •	 Develop focused, factual and clear messages for  trade customers and consumers, including the  promotion of more direct contact with producers,  around food safety, how food is produced, how it is  processed, sustainable food and healthy diets.",Government Of Ireland,Government Of Ireland
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 2,"Enhance Customer and Consumer Trust in our Food System, Providing Evidence of a Safe, Ethical Food Supply",MISSION 3 GOAL 2 ACTION 8,"New technologies and platforms will be  created and used to:     •	 Develop focused, factual and clear messages for  trade customers and consumers, including the  promotion of more direct contact with producers,  around food safety, how food is produced, how it is  processed, sustainable food and healthy diets.",State Agencies And Las,State Agencies And Local Authorities
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 2,"Enhance Customer and Consumer Trust in our Food System, Providing Evidence of a Safe, Ethical Food Supply",MISSION 3 GOAL 2 ACTION 9,Implement the new National Animal  Welfare Strategy (2021 – 2025).,Livestock Industries,Trade Association
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 2,Develop value-added functional foods  and ingredient solutions with proven  health benefits.,Food For Health Ireland,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 2,Develop value-added functional foods  and ingredient solutions with proven  health benefits.,Alimentary Pharmabiotic Centre,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 3,"The food and beverage industry should  take advantage of digital innovations  and artificial intelligence (AI) to:   •	 assist consumers live active healthy lives, and  enable smart & personalised food choices, e.",Consumers,Civil Society
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 3,"The food and beverage industry should  take advantage of digital innovations  and artificial intelligence (AI) to:   •	 assist consumers live active healthy lives, and  enable smart & personalised food choices, e.",Consumers,Civil Society
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 3,"The food and beverage industry should  take advantage of digital innovations  and artificial intelligence (AI) to:   •	 assist consumers live active healthy lives, and  enable smart & personalised food choices, e.",Primary Producers,Small Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 5,"Further develop on Bord Bia’s ‘Thinking  House’ model of targeting product and  market segments based on consumer  and market insights, while leveraging  regulatory expertise to ensure new  products and innovations are compliant  with relevant legislation.",Retailers,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 5,"Further develop on Bord Bia’s ‘Thinking  House’ model of targeting product and  market segments based on consumer  and market insights, while leveraging  regulatory expertise to ensure new  products and innovations are compliant  with relevant legislation.",Irish Farmers' Association,Trade Association
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 5,"Further develop on Bord Bia’s ‘Thinking  House’ model of targeting product and  market segments based on consumer  and market insights, while leveraging  regulatory expertise to ensure new  products and innovations are compliant  with relevant legislation.",Primary Producers,Small Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Prepared Consumer Food Centre,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",National Food Innovation Hub,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Meat Technology Ireland,Trade Association
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Bord Iascaigh Mhara,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Food For Health Ireland,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Dairy Processing Technology Centre,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Vistamilk Sfi Research Centre,Research And Regulatory
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 3,"Increase Value add in Food & Drink Through Insight, Product Development and Differentiation",MISSION 3 GOAL 3 ACTION 6,"Industry will further leverage the  various sectoral technology centres  to further drive innovation, value- add, new product development and  reformulation, lean manufacturing,  automation, and circularity.",Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 2,"Defend and build market share in the  UK, building on British trade customer  and consumer confidence in Irish food  and drink as quality, trusted, sustainably  produced and ‘close to home’.",Irish Farmers' Association,Trade Association
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 2,"Defend and build market share in the  UK, building on British trade customer  and consumer confidence in Irish food  and drink as quality, trusted, sustainably  produced and ‘close to home’.",Uk Climate Change Committee,International Organisation
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 5,Enhance the presence of DAFM and  Bord Bia in those markets where a need  is identified.,Enterprise Ireland,"Department Of Business, Employment And Retail"
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 12,Support opportunities for direct local  sales e.,Farmers,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 12,Support opportunities for direct local  sales e.,Community Agri-Food Initiatives,Ngo
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 12,Support opportunities for direct local  sales e.,Local Community Development Committees,State Agencies And Local Authorities
MISSION 4,"An Innovative, Competitive & Resilient Agri-Food Sector, Driven by Technology and Talent",MISSION 4 GOAL 1,Move to a Challenge-Focused Innovation System,MISSION 4 GOAL 1 ACTION 1,Implement the recommendations  of the High-Level Innovation Team  through the development of a roadmap  (the Agri-Food Innovation Strategy)  including:   a.,Public Participation Networks,State Agencies And Local Authorities
MISSION 4,"An Innovative, Competitive & Resilient Agri-Food Sector, Driven by Technology and Talent",MISSION 4 GOAL 1,Move to a Challenge-Focused Innovation System,MISSION 4 GOAL 1 ACTION 1,Implement the recommendations  of the High-Level Innovation Team  through the development of a roadmap  (the Agri-Food Innovation Strategy)  including:   a.,Academia And Research Organisations,Research And Regulatory
MISSION 4,"An Innovative, Competitive & Resilient Agri-Food Sector, Driven by Technology and Talent",MISSION 4 GOAL 1,Move to a Challenge-Focused Innovation System,MISSION 4 GOAL 1 ACTION 1,Implement the recommendations  of the High-Level Innovation Team  through the development of a roadmap  (the Agri-Food Innovation Strategy)  including:   a.,European Innovation Partnership,Research And Regulatory
MISSION 4,"An Innovative, Competitive & Resilient Agri-Food Sector, Driven by Technology and Talent",MISSION 4 GOAL 1,Move to a Challenge-Focused Innovation System,MISSION 4 GOAL 1 ACTION 1,Implement the recommendations  of the High-Level Innovation Team  through the development of a roadmap  (the Agri-Food Innovation Strategy)  including:   a.,Enterprise Ireland,"Department Of Business, Employment And Retail"
MISSION 4,"An Innovative, Competitive & Resilient Agri-Food Sector, Driven by Technology and Talent",MISSION 4 GOAL 1,Move to a Challenge-Focused Innovation System,MISSION 4 GOAL 1 ACTION 2,"Engage with EU and international  partners to co-develop a coordinated  set of innovation actions, collaboration  and networking focusing on aiding an  environment and climate-led transition  to a climate neutral agri-food sector  and circular bioeconomy.","Department Of Agriculture, Environment And Rural Affairs (Northern Ireland)",International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 1,Develop an Agricultural Knowledge &  Innovation System in line with the CAP  Strategic Plan.,Primary Producers,Small Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 1,Develop an Agricultural Knowledge &  Innovation System in line with the CAP  Strategic Plan.,Farm Advisory Services,Inputs
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 1,Develop an Agricultural Knowledge &  Innovation System in line with the CAP  Strategic Plan.,Agricultural Innovation Mission For Climate,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 2,Embed knowledge exchange principles  and include a knowledge exchange  component in publicly funded research.,Agri-Environment Advisors,Inputs
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 2,Embed knowledge exchange principles  and include a knowledge exchange  component in publicly funded research.,Target End-User,Civil Society
