Speaker,Topic Thoughts,Sentiment,Labels,Category
Mr. John Enright,"The speaker believes that Ireland has good water quality compared to Europe, despite some challenges.",Support,"General Secretary, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Deputy Brian Leddin,The speaker believes that reducing nitrogen application is essential to prevent river pollution and that fair pricing for farmers can help achieve this.,Support,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Mr. Denis Drennan,"The speaker believes that reducing nitrates from 250 kg to 220 kg per hectare will create a catastrophic situation for farmers, especially those affected by derogation.",Oppose,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Deputy Martin Browne,The speaker expresses concern about the economic consequences for rural development in Ireland.,Neutral,"Deputy (TD), Sinn Féin, Tipperary",Political Party
Senator Paul Daly,The speaker expresses concern about the potential negative impact on small rural economies due to changes in farming practices.,Oppose,"Senator, Fianna Fáil, Westmeath",Political Party
Senator Paul Daly,The speaker expresses concern about the potential negative impact on small rural economies due to changes in farming practices.,Oppose,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Paul Daly,The speaker expresses concern about the impact of agricultural changes on small rural economies.,Neutral,"Senator, Fianna Fáil, Westmeath",Political Party
Senator Paul Daly,The speaker expresses concern about the impact of agricultural changes on small rural economies.,Neutral,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Mr. Pat McCormack,The speaker emphasizes the importance of dairy processors for the viability of rural towns and villages.,Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Pat McCormack,"The speaker emphasizes the importance of dairy processors as vital employers in rural areas, indicating that their viability is crucial for rural development.",Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker expresses concern about the loose regulations regarding nitrate concentration and its implications for water quality.,Oppose,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker expresses concern over the loose regulations regarding nitrate concentrations and their potential impact on water quality.,Oppose,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker expresses concern over the loose regulations regarding nitrate concentration and its implications for water quality.,Oppose,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker expresses concern about the loose regulations regarding nitrate concentrations and their implications for water quality.,Oppose,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker expresses concern about the loose regulations on nitrate concentration and its implications for water quality.,Oppose,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker believes eutrophication is primarily a phosphorus issue exacerbated by inadequate recovery in wastewater treatment.,Neutral,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker believes eutrophication is primarily a phosphorus issue exacerbated by inadequate recovery in municipal wastewater treatment plants.,Neutral,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,The speaker believes eutrophication is primarily a phosphorus issue exacerbated by inadequate recovery in wastewater treatment plants.,Neutral,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Pat McCormack,The speaker believes that the nitrates directive significantly undermines the unique environmental auditing structure in agriculture.,Oppose,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,"The speaker supports the reduction of nitrates through a cut in chemical nitrogen and increased enforcement, emphasizing the need for time to see results from these measures.",Support,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Denis Drennan,"The speaker supports the reduction of nitrates through a cut in chemical nitrogen and increased enforcement, emphasizing the need for time to see results.",Support,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Pat McCormack,The speaker supports low-emission slurry spreading and investment in slurry storage to address emissions.,Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Pat McCormack,The speaker supports low-emission slurry spreading as a critical measure for improving water quality.,Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Pat McCormack,The speaker supports low-emission slurry spreading and investment in slurry storage to reduce emissions.,Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Deputy Kieran ’Donnell,The speaker believes that accountability is necessary for those contaminating groundwater and questions the empirical work done on contamination levels from wastewater treatment plants.,Oppose,"Deputy (TD), Fine Gael, Limerick",Political Party
Deputy Kieran ’Donnell,The speaker believes that accountability is necessary for those contaminating groundwater and questions the empirical work done on wastewater treatment plants' impact on contamination levels.,Oppose,"Deputy (TD), Fine Gael, Limerick",Political Party
Deputy Kieran ’Donnell,No position expressed on effluent.,Neutral,"Deputy (TD), Fine Gael, Limerick",Political Party
Deputy Kieran ’Donnell,The speaker believes that accountability is necessary for those contaminating groundwater and questions the empirical work on contamination levels from wastewater treatment plants.,Oppose,"Deputy (TD), Fine Gael, Limerick",Political Party
Mr. Denis Drennan,The speaker emphasizes the need for better information and treatment levels in wastewater management.,Support,"Chairman, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Pat McCormack,The speaker acknowledges the need to address emissions and is prepared to be part of the solution.,Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. David Flynn,The speaker emphasizes the need for measures to reduce water pollution and improve water quality due to high nutrient levels.,Support,"Chairman, Dairygold Co Operative Society Limited, Processors",Processors
Deputy Michael Fitzmaurice,"The speaker highlights that farmers are unfairly blamed for effluent issues in rivers, questioning the scientific attribution of phosphorus sources.",Oppose,"Deputy (TD), Independent, Roscommon",Political Party
Deputy Michael Fitzmaurice,The speaker suggests that farmers are unfairly blamed for effluent issues related to sewage-treatment plants discharging into rivers.,Oppose,"Deputy (TD), Independent, Roscommon",Political Party
Dr. Marie Archbold,The monitoring data for the nitrates directive is specifically designed to reflect agricultural land use impacts on water bodies.,Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Dr. Marie Archbold,The monitoring data for the nitrates directive is specifically designed to reflect agricultural land use impacts on water quality.,Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Mr. David Flynn,The speaker acknowledges the demand for water as a valuable resource but does not assign sole blame to farmers for water issues.,Neutral,"Chairman, Dairygold Co Operative Society Limited, Processors",Processors
Deputy Michael Fitzmaurice,The speaker questions the effectiveness of current nitrate regulations and their impact on farmers' ability to receive grants.,Neutral,"Deputy (TD), Independent, Roscommon",Political Party
Mr. Bill Callanan,The speaker acknowledges the importance of nitrates compliance checks and is willing to adapt to a banding system for farms.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,The speaker supports a scientifically determined structure for nitrates emissions that maximizes benefits for low and middle bands.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,The speaker acknowledges the challenge of managing nitrates for farmers exceeding limits and emphasizes the importance of compliance and efficiency in milk production.,Neutral,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Senator Tim Lombard,The speaker acknowledges the impact of nitrates regulations on farmers and suggests the Department engage with communities about these changes.,Neutral,"Senator, Fine Gael, Cork",Political Party
Dr. Marie Archbold,The nitrates directive requires a monitoring network and regular reporting to the Commission.,Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Dr. Marie Archbold,"The speaker indicates that the average concentrations of nitrates in drinking water are high in the Irish context, but the areas affected are very limited.",Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Dr. Marie Archbold,No specific thought expressed.,Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Senator Tim Lombard,The speaker advocates for including specific water testing locations in the EPA report to ensure collaborative efforts in water management.,Support,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker expresses optimism about the reduction of nitrates due to changing farming practices and improved monitoring.,Support,"Senator, Fine Gael, Cork",Political Party
Mr. Bill Callanan,The speaker emphasizes the importance of a monitoring program for water as part of their commitment under the derogation.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,The speaker acknowledges the importance of data from the nitrates directive but questions the value of the high costs associated with its reporting.,Neutral,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. David Flynn,The speaker emphasizes the importance of high-resolution monitoring to understand effective water management practices.,Support,"Chairman, Dairygold Co Operative Society Limited, Processors",Processors
Deputy Brian Leddin,The speaker expresses sympathy for the challenge of achieving clean water while managing the agriculture sector's resistance to the nitrates action programme.,Neutral,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Deputy Brian Leddin,The speaker expresses sympathy for the challenges faced by departments in achieving clean water while managing agricultural resistance to the nitrates action programme.,Neutral,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Deputy Brian Leddin,The speaker acknowledges that agricultural practices significantly contribute to water quality issues and emphasizes the need to restore water quality to meet EU obligations.,Support,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Deputy Brian Leddin,The speaker acknowledges that agricultural practices significantly contribute to water quality issues and emphasizes the need for effective action to restore water quality.,Support,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Deputy Brian Leddin,The speaker acknowledges that agricultural practices significantly contribute to water quality issues and emphasizes the need for effective measures to restore water quality.,Support,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Mr. David Flynn,Nitrates can be processed more quickly than phosphorous in certain geological settings.,Neutral,"Chairman, Dairygold Co Operative Society Limited, Processors",Processors
Dr. Marie Archbold,"The speaker emphasizes the rapid movement of nitrogen and its potential quick impact on karst areas, while noting the slower biological response to changes in river chemistry.",Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Mr. Bill Callanan,The speaker emphasizes the importance of water quality in agricultural practices and schemes.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Deputy Martin Browne,The speaker emphasizes the need for differentiated assessment of water quality to avoid unfair penalties on compliant farms.,Support,"Deputy (TD), Sinn Féin, Tipperary",Political Party
Deputy Martin Browne,The speaker emphasizes the need to distinguish between compliant farms and those causing excess runoff in water quality assessments.,Neutral,"Deputy (TD), Sinn Féin, Tipperary",Political Party
Deputy Martin Browne,The speaker emphasizes the need to differentiate between compliant farms and those causing excess runoff to avoid unfair penalties.,Neutral,"Deputy (TD), Sinn Féin, Tipperary",Political Party
Dr. Marie Archbold,The speaker emphasizes the importance of monitoring water concentrations to understand upstream and downstream impacts.,Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Dr. Marie Archbold,The speaker emphasizes the importance of monitoring water concentrations to understand upstream impacts.,Neutral,"Lecturer, University College Dublin (UCD), Research and Regulatory",Research and Regulatory
Mr. Bill Callanan,The speaker emphasizes the importance of delivering on water quality to ensure long-term viability for farmers and compliance with regulations.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,The speaker supports low-emission practices as beneficial for ammonia reduction and efficiency in manure utilization.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,"The speaker supports low-emission slurry spreading for ammonia reduction and improved manure efficiency, but sees limited impact on water quality from nitrates.",Neutral,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. David Flynn,"Significant risks have been identified in water bodies, particularly related to agriculture.",Neutral,"Chairman, Dairygold Co Operative Society Limited, Processors",Processors
Deputy Brian Leddin,The speaker expresses concern about the future of Ireland's nitrates derogation being contingent on compliance with the nitrates action programme.,Neutral,"Deputy and Spokesperson on Transport, and Climate, Energy, and Communications, Green Party, Limerick",Political Party
Dr. Matthew Crowe,The speaker emphasizes the need for radical improvements in water quality and management over the next six years.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Mr. Mark Boyden,"The speaker emphasizes the importance of clean, healthy waters for public health and biodiversity.",Support,"Co Founder and Director, Coomhola Salmon Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker expresses concern over the poor state of water quality in Ireland and calls for more ambitious actions to improve it.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker expresses concern over the poor quality of water bodies in Ireland and calls for increased ambition and targeted actions to improve water status.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker emphasizes the urgent need for improved water quality and management to meet regulatory standards.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker expresses concern over the current state of water quality in Ireland, highlighting significant pollution and a lack of effective governance.",Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker expresses concern over the unhealthy state of water bodies in Ireland and calls for more ambitious actions to improve water quality.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker expresses concern over the unhealthy state of Ireland's water bodies and calls for targeted actions to improve water quality.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker advocates for active community involvement in water management and decision-making.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker advocates for active community involvement in water management and emphasizes the need for community water officers to facilitate this engagement.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker advocates for a coordinated approach to water management, emphasizing the need for community involvement and monitoring.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Dr. Matthew Crowe,The speaker emphasizes the importance of public participation and collaboration among various stakeholders to improve water quality and management.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Matthew Crowe,The speaker emphasizes the importance of understanding and managing water bodies through local engagement and participation.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Matthew Crowe,The speaker emphasizes the importance of public participation and collaboration among various stakeholders to address water quality and management challenges.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Deputy Thomas Gould,The speaker emphasizes the need for government responsibility in managing and maintaining waterways to prevent issues like flooding and littering.,Support,"Deputy (TD), Sinn Féin, Cork",Political Party
Deputy Joe Flaherty,The speaker believes that farmers should not be vilified and are important custodians of water quality and the environment.,Support,"Deputy (TD), Fianna Fáil, Longford Westmeath",Political Party
Mr. Noel Meehan,The speaker emphasizes the restore function of ASSAP in improving water quality rather than a protective role.,Neutral,"Programme Manager of Agricultural Catchments Programme, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Noel Meehan,The speaker emphasizes a restore function for water quality rather than a protective role at present.,Neutral,"Programme Manager of Agricultural Catchments Programme, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Noel Meehan,The speaker emphasizes the current focus of ASSAP on restoring water quality rather than protecting it.,Neutral,"Programme Manager of Agricultural Catchments Programme, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Noel Meehan,"The speaker acknowledges a commitment from government departments to provide funding to help farmers implement measures for water quality, but emphasizes that currently, farmers bear the costs.",Neutral,"Programme Manager of Agricultural Catchments Programme, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Noel Meehan,The speaker emphasizes the importance of maintaining water quality and educating stakeholders to prevent regression.,Support,"Programme Manager of Agricultural Catchments Programme, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Deputy Emer Higgins,The speaker acknowledges the complexity of managing numerous waterbodies and emphasizes the need for action plans for each.,Neutral,"Deputy (TD), Fine Gael, Dublin Mid West",Political Party
Deputy Emer Higgins,The speaker emphasizes the need for an action plan for every waterbody to protect or restore them.,Support,"Deputy (TD), Fine Gael, Dublin Mid West",Political Party
Ms Sinéad ’Brien,The speaker advocates for a centralized unit to oversee the implementation of water management measures and improve coordination among existing groups.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker advocates for a centralized unit to oversee water management and implementation of measures.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Dr. Elaine McGoff,"Forestry significantly harms water quality, particularly affecting high-status waterbodies, and current protective measures are inadequate.",Oppose,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,"Forestry significantly harms water quality, particularly affecting high-status waterbodies.",Oppose,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,"Forestry significantly harms water quality, especially in high-status waterbodies, and current protection measures are inadequate.",Oppose,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Mr. Noel Meehan,The speaker emphasizes the importance of implementation measures to improve water quality and acknowledges barriers faced by farmers in this process.,Support,"Programme Manager of Agricultural Catchments Programme, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Matthew Crowe,The speaker emphasizes the interconnectedness of water issues with climate action and advocates for engaging young people in discussions about water quality.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Mr. Eddie Burgess,The speaker emphasizes the complexity of nitrate loss and the need for effective regulations to engage farmers.,Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Elaine McGoff,The speaker emphasizes the need for political leadership and accountability in addressing water quality issues.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,The speaker emphasizes the need for political leadership and accountability in addressing water quality issues.,Neutral,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Ms Sinéad ’Brien,The speaker emphasizes the need for honesty about water quality to raise public awareness.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker advocates for transparency regarding water quality to enhance public awareness and safety.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Dr. Matthew Crowe,The speaker emphasizes the need for better resourcing and accountability in local authorities to effectively manage and protect water quality.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Matthew Crowe,The speaker emphasizes the need for local authorities to be better resourced for effective water management and protection.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Matthew Crowe,The speaker emphasizes the need for better resourcing and accountability in local authorities for effective water management and protection.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Mr. Eddie Burgess,"The speaker believes that nitrate loss is complex and not solely reduced by cutting nitrogen application, emphasizing the need for effective measures.",Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Eddie Burgess,The speaker believes that reducing nitrogen application does not automatically lead to reduced nitrate loss and emphasizes the complexity of the issue.,Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Elaine McGoff,The speaker believes that nitrate loss is complex and requires a tailored approach rather than a one-size-fits-all solution.,Neutral,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,"The speaker believes that nitrate loss is complex and influenced by various factors, and criticizes the one-size-fits-all approach of the nitrates action programme.",Oppose,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,The nitrates action programme lacks a tailored approach and fails to utilize available data effectively.,Oppose,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Ms Sinéad ’Brien,The speaker believes there is a significant disconnect between the necessary reductions in nitrates and the targets set by the nitrates action plan.,Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Dr. Frank ’Mara,The speaker emphasizes the importance of using nitrogen correctly and judiciously to reduce greenhouse gas emissions and support crop growth.,Support,"Director of Research, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Ms Sinéad ’Brien,The speaker believes that the current plan is not compliant with the directive regarding water bodies achieving good status.,Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker believes that the current plan is not compliant with the directive regarding water bodies and lacks targeted measures for agriculture and forestry.,Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker believes that the plan is not compliant with the directive regarding water quality and status.,Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker believes that the current plan for water management is non-compliant with directives and lacks targeted measures for agriculture and forestry to ensure water bodies reach good status.,Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Dr. Elaine McGoff,The speaker emphasizes the need for accountability and an integrated catchment management approach to improve water quality.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,The speaker emphasizes the need for accountability and integrated catchment management to improve water quality.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,The speaker emphasizes the need for accountability and integrated management to improve water quality.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Mr. Eddie Burgess,The speaker believes that water quality is not necessarily related to the intensity of dairy farming and emphasizes the importance of targeted actions for improvement.,Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Frank ’Mara,"The speaker supports transitioning to a system that uses less nitrogen in agriculture, emphasizing reliance on nitrogen-fixing plants like clover.",Support,"Director of Research, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Frank ’Mara,"Regulation is necessary, but collaboration with farmers is essential for improving water quality.",Support,"Director of Research, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Ms Sinéad ’Brien,The speaker emphasizes the need for clear procedures and assessments to determine the feasibility of achieving water quality objectives by 2027.,Neutral,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,The speaker emphasizes the need for a clear procedure and transparency in assessing water bodies to achieve good status by 2027.,Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Mr. Eddie Burgess,"The speaker believes that the country has good water quality, particularly in groundwater, and that the derogation for nitrates is justified due to this status.",Support,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Eddie Burgess,"The speaker expresses a positive stance on water quality, noting that over 98% of groundwater bodies are in good status compared to other European countries.",Support,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Eddie Burgess,The speaker acknowledges that the derogation allows farmers to exceed a particular stocking rate under the nitrates directive.,Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Elaine McGoff,The speaker indicates that drained peatland is contributing to rising climate emissions.,Neutral,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Matthew Crowe,The speaker emphasizes the need for targeted measures to restore and protect high status waters impacted by forestry.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Ms Sinéad ’Brien,"The speaker emphasizes the sensitivity of water bodies and the need for specific, urgent responses to protect them from various impacts, including agriculture.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker emphasizes the sensitivity of water bodies to various impacts, highlighting the need for specific and urgent catchment management plans.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker emphasizes the sensitivity of water bodies and the need for specific, urgent response plans to protect and restore them.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Mr. Eddie Burgess,The speaker acknowledges that nitrates are a concern due to their contribution to nitrogen loss through urine and water movement in the soil.,Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Eddie Burgess,The speaker acknowledges that nitrates are a problem due to their movement with water and the contribution from urine.,Neutral,"Specialist in Energy and Rural Development, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Ms Sinéad ’Brien,"The speaker emphasizes the need for urgent measures to address sewage pollution in water bodies, highlighting the inadequacy of current plans and the importance of transparency in identifying and remediating affected areas.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker emphasizes the need for urgent measures to address sewage pollution in water bodies, highlighting the inadequacy of current plans and the importance of transparency in identifying and remediating polluted areas.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker emphasizes the need for urgent measures to remediate polluted water bodies caused by sewage, highlighting the shortcomings in Irish Water's plans and the importance of transparency in addressing these issues.",Oppose,"Policy Director, Sustainable Food Trust, NGO",NGO
Ms Sinéad ’Brien,"The speaker emphasizes the need for urgent measures to address sewage pollution in water bodies, highlighting the shortcomings of current wastewater treatment plans and the importance of transparency in identifying and remediating polluted areas.",Support,"Policy Director, Sustainable Food Trust, NGO",NGO
Mr. Mark Boyden,The speaker emphasizes the importance of raising awareness about water issues and engaging the community in conservation efforts.,Support,"Co Founder and Director, Coomhola Salmon Trust, NGO",NGO
Mr. Mark Boyden,Awareness and public engagement are crucial for prioritizing water issues politically.,Support,"Co Founder and Director, Coomhola Salmon Trust, NGO",NGO
Dr. Elaine McGoff,The speaker expresses strong support for increased attention and ambition in addressing water quality issues.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,The speaker emphasizes the importance of addressing water quality and encourages greater ambition in river basin management plans.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Elaine McGoff,The speaker expresses strong support for addressing water quality and encourages greater ambition in river basin management plans.,Support,"Natural Environment Officer, An Taisce  The National Trust for Ireland, NGO",NGO
Dr. Matthew Crowe,The speaker emphasizes the importance of collaboration and common ground in water management for effective implementation.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Matthew Crowe,The speaker emphasizes the importance of collaboration and common ground in water management.,Support,"Former Director of the Office of Evidence and Assessment, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Frank ’Mara,The speaker believes significant progress has been made in understanding and monitoring water quality and its relationship with agriculture.,Support,"Director of Research, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Dr. Frank ’Mara,The speaker believes significant progress has been made in monitoring and addressing water quality issues related to agriculture.,Support,"Director of Research, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Deputy Michael Fitzmaurice,"The speaker expresses concern that the new nitrates figures and targets will negatively impact family farms, emphasizing the need for clear information and guidelines.",Oppose,"Deputy (TD), Independent, Roscommon",Political Party
Deputy Michael Fitzmaurice,The speaker believes that farmers who stay under the 170 nitrates limit will not face significant issues.,Neutral,"Deputy (TD), Independent, Roscommon",Political Party
